	SRR1554535	SRR1554537	SRR1554539	SRR1554556	SRR1554561	SRR1554566	SRR1554567	SRR1554568
1	98	145	73	173	175	170	32	91
10	2	1	2	1	0	2	2	1
100	158	46	67	319	60	101	74	59
1000	2338	12523	2384	3204	2578	12248	12391	10332
10000	1769	20322	4274	2810	3378	18264	9203	22719
100008586	0	0	0	0	0	0	0	0
100008587	0	0	0	0	0	0	0	0
100008588	0	0	0	0	0	0	0	0
100008589	0	0	0	0	0	0	0	0
100009613	0	0	1	0	0	0	0	0
100009676	40	79	45	56	39	78	96	58
10001	452	830	466	586	412	863	1038	736
10002	8	19	7	17	8	8	16	15
10003	408	170	498	640	340	209	781	164
100033413	1	5	1	1	1	4	4	3
100033414	0	3	1	1	0	4	7	4
100033415	0	1	0	0	0	0	1	0
100033416	14	42	15	24	33	59	48	57
100033417	0	1	0	0	1	1	1	0
100033418	2	2	3	1	1	2	2	3
100033419	1	3	1	0	0	4	2	1
100033420	1	4	0	0	0	2	4	3
100033421	5	2	4	3	5	0	3	3
100033422	0	0	0	1	0	0	0	0
100033423	0	0	0	0	0	0	0	0
100033424	6	4	5	1	11	1	0	0
100033425	1	4	1	1	0	2	1	0
100033426	2	4	1	2	2	2	4	3
100033427	2	4	2	2	1	0	4	2
100033428	0	1	0	1	1	0	0	1
100033429	0	0	0	0	0	2	0	2
100033430	1	2	5	4	2	2	3	0
100033431	4	26	4	5	6	13	32	23
100033432	0	46	14	17	9	24	35	31
100033433	5	8	7	3	2	10	7	9
100033434	2	2	3	2	0	2	3	0
100033435	1	4	10	9	1	1	14	11
100033436	0	0	1	1	0	1	2	1
100033437	0	0	0	2	0	0	0	0
100033438	1	1	5	3	0	1	6	1
100033439	9	6	21	13	2	6	6	4
100033440	1	0	0	0	0	1	0	0
100033441	2	0	4	3	4	1	1	0
100033442	0	0	2	0	1	0	0	0
100033443	0	2	0	1	1	0	0	0
100033444	0	0	0	0	0	0	0	0
100033445	0	0	1	0	0	0	0	0
100033446	0	0	0	0	0	0	0	0
100033447	0	0	0	0	0	0	0	0
100033448	0	0	0	0	1	0	0	0
100033449	3	1	1	1	4	1	0	1
100033450	7	5	20	12	28	1	6	2
100033451	2	0	1	0	10	0	0	0
100033453	0	0	0	0	0	0	0	0
100033454	0	0	0	0	0	0	0	0
100033455	1	0	0	0	0	0	0	0
100033456	0	0	0	0	0	0	0	0
100033458	0	0	0	0	0	0	0	0
100033460	4	4	6	8	17	0	0	1
100033603	3	5	7	3	5	1	5	0
100033799	7	1	2	0	4	1	1	0
100033800	0	0	0	0	0	0	0	0
100033801	0	0	1	1	1	0	0	0
100033802	3	3	4	4	9	0	4	1
100033803	0	0	0	0	0	0	0	0
100033804	0	0	0	0	0	0	0	0
100033805	0	0	2	0	0	0	0	0
100033806	1	0	0	1	1	0	0	0
100033807	0	0	0	0	1	0	0	0
100033808	0	0	0	0	0	0	0	1
100033809	3	0	2	0	4	0	0	0
100033810	0	0	4	2	0	0	0	0
100033811	2	0	0	0	0	0	0	0
100033812	0	0	0	0	0	1	0	0
100033813	2	0	0	0	1	0	0	0
100033814	0	1	0	0	0	0	0	0
100033815	0	0	0	0	4	0	1	1
100033816	0	0	0	0	0	0	0	0
100033817	0	0	0	1	0	0	1	0
100033818	0	0	0	1	0	0	0	0
100033819	0	0	0	0	0	0	0	0
100033820	0	5	1	0	3	4	3	5
100033821	1	0	0	1	1	1	1	0
100033822	0	0	0	0	1	0	0	0
100036519	0	1	6	1	3	5	5	5
100036563	3	0	0	0	0	0	0	0
100036564	1	0	0	0	0	0	0	0
100036565	0	0	0	0	1	0	0	0
100036566	13	11	17	13	8	5	21	4
100036567	0	0	0	0	0	0	1	0
100037417	38	60	25	73	41	88	97	62
100038246	0	0	0	0	0	0	0	0
10004	27	48	21	25	22	60	78	28
100048912	4	2	13	8	4	1	4	2
