GeneName,FoldChange,Pvalue,Padj
SRY-box transcription factor 11,8.732512461,0,0
fibrillin 3,5.772266498,1.24E-181,1.35E-177
Src like adaptor,6.81919964,2.80E-152,2.03E-148
neurogenin 2,7.284381822,4.32E-141,2.35E-137
dihydropyrimidinase like 3,4.45974959,2.28E-134,9.91E-131
pleckstrin homology and RhoGEF domain containing G2,4.485177014,1.39E-133,4.48E-130
SRY-box transcription factor 4,7.295877808,1.44E-133,4.48E-130
"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2",7.073998568,3.57E-130,9.69E-127
tubulin alpha 4a,-8.047708189,9.10E-121,2.20E-117
"aldolase, fructose-bisphosphate C",-6.113085678,2.45E-114,5.33E-111
synuclein gamma,-7.721079659,3.16E-107,6.25E-104
thymosin beta 15A,8.409534376,5.43E-107,9.83E-104
neurofilament heavy,-5.546134743,1.80E-100,3.01E-97
ADAM metallopeptidase with thrombospondin type 1 motif 7,5.426200829,3.06E-97,4.76E-94
protein phosphatase 1 regulatory subunit 17,5.368658634,1.16E-95,1.68E-92
"thymocyte expressed, positive selection associated 1",-10.80670825,1.11E-94,1.51E-91
enhancer of zeste 2 polycomb repressive complex 2 subunit,5.855248436,7.81E-94,9.99E-91
tetraspanin 18,4.887187496,1.59E-93,1.93E-90
Ly6/neurotoxin 1,-5.565109258,5.77E-92,6.60E-89
calcium/calmodulin dependent protein kinase II alpha,-6.96996548,9.02E-92,9.80E-89
mex-3 RNA binding family member A,7.73957694,2.62E-90,2.71E-87
lysophosphatidic acid receptor 2,5.05041091,3.56E-90,3.52E-87
eomesodermin,10.01730938,3.64E-89,3.44E-86
SEC14 like lipid binding 5,-7.724202968,8.47E-89,7.67E-86
immunoglobulin superfamily member 9,7.785513446,6.57E-86,5.71E-83
maestro,-6.571910189,1.33E-85,1.11E-82
glypican 2,6.007558101,2.73E-85,2.20E-82
formin binding protein 1 like,4.370170507,6.53E-85,5.07E-82
marker of proliferation Ki-67,9.201247504,2.25E-84,1.69E-81
doublecortin,6.516516903,6.44E-84,4.67E-81
DNA topoisomerase II alpha,9.882292118,2.92E-83,2.05E-80
visinin like 1,-4.772341698,6.00E-82,4.07E-79
NEDD4 binding protein 2,4.667855152,1.18E-81,7.74E-79
nucleolar and spindle associated protein 1,6.495645445,1.21E-81,7.74E-79
UDP-N-acetylglucosamine pyrophosphorylase 1 like 1,-5.385937204,5.23E-81,3.25E-78
sodium voltage-gated channel beta subunit 1,-7.789856279,1.54E-79,9.33E-77
chimerin 1,-5.342658314,8.87E-79,5.21E-76
Rap guanine nucleotide exchange factor 4,-5.651249888,1.59E-78,9.09E-76
dorsal inhibitory axon guidance protein,6.795853189,3.96E-78,2.21E-75
heat shock protein family B (small) member 8,-7.812966324,4.71E-78,2.56E-75
BCL2 like 2,-2.680541461,2.49E-77,1.32E-74
vasohibin 2,5.794637183,6.14E-77,3.18E-74
vasoactive intestinal peptide receptor 1,-6.289438388,4.69E-76,2.37E-73
insulin like growth factor binding protein like 1,6.590378997,1.02E-75,5.02E-73
BTB domain and CNC homolog 2,4.521130172,1.11E-75,5.37E-73
lamin B1,5.407233324,1.19E-74,5.64E-72
homeodomain interacting protein kinase 4,-6.844951062,1.38E-74,6.39E-72
synaptotagmin like 2,-4.889380296,2.01E-74,9.11E-72
tektin 2,4.054248438,2.76E-74,1.22E-71
zinc finger and SCAN domain containing 2,2.816817824,2.28E-73,9.92E-71
basic helix-loop-helix family member e41,-4.953028003,1.88E-71,8.02E-69
kelch like family member 1,4.766210888,2.02E-70,8.46E-68
ectonucleotide pyrophosphatase/phosphodiesterase family member 5,-5.007809068,5.89E-69,2.41E-66
myelin basic protein,-10.1157717,6.47E-69,2.60E-66
gap junction protein gamma 1,4.118682207,6.74E-69,2.66E-66
midkine,3.686171516,1.71E-68,6.64E-66
ependymin related 1,-4.120001494,7.77E-68,2.96E-65
cytoplasmic polyadenylation element binding protein 1,-5.30738639,2.32E-67,8.71E-65
tubulin polymerization promoting protein,-4.888593467,9.47E-66,3.49E-63
