"GeneName"	"FoldChange"	"Pvalue"	"Padj"
"SRY-box transcription factor 11"	8.73251246083481	0	0
"fibrillin 3"	5.77226649841412	1.24118199085588e-181	1.34922688315988e-177
"Src like adaptor"	6.81919963983982	2.79885900548969e-152	2.02833312127838e-148
"neurogenin 2"	7.28438182154093	4.31624510874399e-141	2.34598712273008e-137
"dihydropyrimidinase like 3"	4.45974958992894	2.28022770677406e-134	9.91488611459498e-131
"pleckstrin homology and RhoGEF domain containing G2"	4.4851770141905	1.39277317606307e-133	4.47701189003766e-130
"SRY-box transcription factor 4"	7.29587780820267	1.44147386184001e-133	4.47701189003766e-130
"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2"	7.0739985684139	3.56657316306101e-130	9.69260839226367e-127
"tubulin alpha 4a"	-8.04770818895227	9.10287985227969e-121	2.19895234298236e-117
"aldolase, fructose-bisphosphate C"	-6.11308567805785	2.45154071006482e-114	5.32989465775192e-111
"synuclein gamma"	-7.7210796593294	3.16032110727042e-107	6.24623101756057e-104
"thymosin beta 15A"	8.40953437612937	5.42579622041098e-107	9.83018630232958e-104
"neurofilament heavy"	-5.54613474346885	1.79756803723585e-100	3.00622513058036e-97
"ADAM metallopeptidase with thrombospondin type 1 motif 7"	5.4262008289328	3.06445200419973e-97	4.75887507309331e-94
"protein phosphatase 1 regulatory subunit 17"	5.36865863448423	1.16108805768852e-95	1.68288103081374e-92
"thymocyte expressed, positive selection associated 1"	-10.8067082532751	1.10773083283543e-94	1.50519850229219e-91
"enhancer of zeste 2 polycomb repressive complex 2 subunit"	5.85524843632081	7.81352408577455e-94	9.99257806757792e-91
"tetraspanin 18"	4.88718749632144	1.59499511079285e-93	1.92648826131929e-90
"Ly6/neurotoxin 1"	-5.56510925782968	5.77047614430038e-92	6.6029432554334e-89
"calcium/calmodulin dependent protein kinase II alpha"	-6.96996547953853	9.01761854461407e-92	9.80260223892272e-89
"mex-3 RNA binding family member A"	7.73957694001409	2.62238665071119e-90	2.71491943681485e-87
"lysophosphatidic acid receptor 2"	5.05041091008602	3.56005235257604e-90	3.51814082715253e-87
"eomesodermin"	10.01730937558	3.63803321423395e-89	3.43889043959393e-86
"SEC14 like lipid binding 5"	-7.72420296790379	8.46870373006282e-89	7.67158699147066e-86
"immunoglobulin superfamily member 9"	7.78551344557632	6.56648941141083e-86	5.71048185173932e-83
"maestro"	-6.57191018865835	1.33109781282064e-85	1.11305375186667e-82
"glypican 2"	6.00755810136855	2.72596848532366e-85	2.19501040146007e-82
"formin binding protein 1 like"	4.3701705069144	6.52711251619755e-85	5.0680697576661e-82
"marker of proliferation Ki-67"	9.20124750446701	2.25348843365986e-84	1.68941696676548e-81
"doublecortin"	6.51651690278543	6.44296377680962e-84	4.66921584905393e-81
"DNA topoisomerase II alpha"	9.88229211760124	2.91885284029531e-83	2.04705740647937e-80
"visinin like 1"	-4.77234169794454	5.99727997484994e-82	4.07458949791289e-79
"NEDD4 binding protein 2"	4.66785515151663	1.17770908939568e-81	7.74045725390727e-79
"nucleolar and spindle associated protein 1"	6.49564544467969	1.21050341121773e-81	7.74045725390727e-79
"UDP-N-acetylglucosamine pyrophosphorylase 1 like 1"	-5.38593720432682	5.22971202402333e-81	3.24854768897975e-78
"sodium voltage-gated channel beta subunit 1"	-7.7898562791621	1.54473624019514e-79	9.32891961057848e-77
"chimerin 1"	-5.34265831441092	8.87041220197851e-79	5.21220626170851e-76
"Rap guanine nucleotide exchange factor 4"	-5.65124988808788	1.58868383511679e-78	9.08936191033528e-76
"dorsal inhibitory axon guidance protein"	6.79585318889538	3.95847886460009e-78	2.20669971782745e-75
"heat shock protein family B (small) member 8"	-7.81296632421057	4.71415360508326e-78	2.56226033820288e-75
"BCL2 like 2"	-2.68054146055455	2.48572715896365e-77	1.31810229665924e-74
"vasohibin 2"	5.79463718276439	6.13978606537103e-77	3.17821640112456e-74
"vasoactive intestinal peptide receptor 1"	-6.2894383878155	4.69435823492477e-76	2.37348935780231e-73
"insulin like growth factor binding protein like 1"	6.59037899658636	1.0156091499588e-75	5.01826330210324e-73
"BTB domain and CNC homolog 2"	4.5211301715022	1.11217428427419e-75	5.37328469209004e-73
"lamin B1"	5.40723332426475	1.19405270067944e-74	5.64345647075473e-72
"homeodomain interacting protein kinase 4"	-6.84495106191624	1.38223854096303e-74	6.39388257852707e-72
"synaptotagmin like 2"	-4.88938029643565	2.01086338118316e-74	9.10795432714647e-72
"tektin 2"	4.05424843775193	2.7606623730438e-74	1.22488899290501e-71
"zinc finger and SCAN domain containing 2"	2.81681782369781	2.28057447827177e-73	9.91639394642131e-71
"basic helix-loop-helix family member e41"	-4.9530280026754	1.88144263556327e-71	8.02047928231e-69
"kelch like family member 1"	4.76621088783953	2.02414239809198e-70	8.46286151479187e-68
"ectonucleotide pyrophosphatase/phosphodiesterase family member 5"	-5.00780906835345	5.88582949808227e-69	2.41441168146805e-66
"myelin basic protein"	-10.1157716996939	6.46695084902091e-69	2.60366626682525e-66
"gap junction protein gamma 1"	4.11868220741039	6.73705160558415e-69	2.66309525376373e-66
"midkine"	3.68617151618975	1.71019110963712e-68	6.63951159189654e-66
"ependymin related 1"	-4.12000149354191	7.7665683015321e-68	2.96233265690543e-65
"cytoplasmic polyadenylation element binding protein 1"	-5.30738638951026	2.32340379424127e-67	8.70915894665508e-65
"tubulin polymerization promoting protein"	-4.888593466786	9.46830878954911e-66	3.48899154904385e-63
"insulin like growth factor 2 mRNA binding protein 2"	7.457200433841	1.12477497466638e-65	4.07562212070362e-63
"serine carboxypeptidase 1"	-3.43453174871133	1.5761160234764e-65	5.61743253547549e-63
"solute carrier family 30 member 3"	-9.60092475868173	5.74869371595542e-65	2.01584435610624e-62
"CRACD like"	-7.1252092241277	2.50905557929978e-64	8.65863132532642e-62
"mex-3 RNA binding family member B"	4.25904850874559	3.3099990153394e-64	1.12441700925772e-61
"long intergenic non-protein coding RNA 461"	3.59506136147596	7.37618969571112e-64	2.46716523345316e-61
"regulator of G protein signaling 4"	-9.85539379954535	1.20079774327577e-63	3.95553692978158e-61
"coagulation factor II thrombin receptor"	4.89673390576198	1.80509506043914e-63	5.85739876253841e-61
"synuclein alpha interacting protein"	3.84511124167187	4.62791191267896e-63	1.47963871902284e-60
"angiotensinogen"	-9.18866837389138	1.1588519227347e-62	3.65139125393842e-60
NA	6.73333208781292	1.76910894733965e-62	5.49459966058735e-60
"periplakin"	-5.76021019981473	3.51582166825386e-62	1.07658420971137e-59
"protein kinase C and casein kinase substrate in neurons 1"	-5.52099253009187	9.36834516595237e-62	2.82884989240237e-59
"inositol-trisphosphate 3-kinase A"	-6.43930337101626	1.56708384053807e-61	4.66711914755318e-59
"synaptotagmin 12"	-6.93945556582639	1.91930985849484e-61	5.63888049101843e-59
"S100 calcium binding protein A1"	-7.84432711836938	2.49969270402236e-61	7.24610921042002e-59
"endothelial PAS domain protein 1"	-2.85115056702183	2.76990100173737e-61	7.92373916825948e-59
"CD24 molecule"	5.81067363133046	2.8601125936764e-61	8.07554648040501e-59
"huntingtin associated protein 1"	-4.5814477296738	6.98616132904096e-61	1.94725812121384e-58
"Cbl proto-oncogene B"	3.71833576121702	1.61231208909762e-60	4.43712368722423e-58
"cell division cycle associated 7"	5.45281268673449	8.16874102819052e-60	2.21995748367363e-57
"dishevelled binding antagonist of beta catenin 1"	4.9650727999051	1.00542739554288e-59	2.69864160574047e-57
